"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_limpa,778,0,2168,0.627"
"2,5022,agua_limpa,728,0,1925,0.587"
"3,7522,agua_limpa,722,0,1751,0.582"
"4,10022,agua_limpa,645,0,1856,0.520"
"5,12522,agua_limpa,726,0,1879,0.585"
"6,15022,agua_limpa,642,0,1797,0.517"
"7,17522,agua_limpa,721,0,1734,0.581"
"8,20022,agua_limpa,725,0,1906,0.584"
"9,22522,agua_limpa,668,0,1917,0.538"
"10,25022,agua_limpa,671,0,1652,0.541"
"11,27522,agua_limpa,726,0,1771,0.585"
"12,30022,agua_limpa,702,0,1939,0.566"
"13,32522,agua_limpa,673,0,1650,0.542"
"14,35022,agua_limpa,731,0,1875,0.589"
"15,37522,agua_limpa,654,0,1895,0.527"
"16,40022,agua_limpa,699,0,1626,0.563"
"17,42522,agua_limpa,727,0,1863,0.586"
"18,45022,agua_limpa,686,0,1929,0.553"
"19,47522,agua_limpa,659,0,1661,0.531"
"20,50022,agua_limpa,723,0,1874,0.583"
"21,52522,agua_limpa,644,0,1782,0.519"
"22,55022,agua_limpa,727,0,1859,0.586"
"23,57522,agua_limpa,637,0,1809,0.513"
"24,60022,agua_limpa,723,0,1882,0.583"
"25,62522,agua_limpa,677,0,1590,0.546"
"26,65022,agua_limpa,656,0,1908,0.529"
"27,67522,agua_limpa,723,0,1807,0.583"
"28,70022,agua_limpa,662,0,1904,0.533"
"29,72522,agua_limpa,645,0,1680,0.520"
"30,75022,agua_limpa,683,0,1558,0.550"
"31,77522,agua_limpa,698,0,1623,0.562"
"32,80022,agua_limpa,695,0,1619,0.560"
"33,82522,agua_limpa,675,0,1519,0.544"
"34,85022,agua_limpa,634,0,1728,0.511"
"35,87522,agua_limpa,656,0,1887,0.529"
"36,90022,agua_limpa,700,0,1891,0.564"
"37,92522,agua_limpa,712,0,1829,0.574"
"38,95022,agua_limpa,705,0,1712,0.568"
"39,97522,agua_limpa,678,0,1535,0.546"
"40,100022,agua_limpa,634,0,1727,0.511"
"41,102522,agua_limpa,640,0,1852,0.516"
"42,105022,agua_limpa,656,0,1883,0.529"
"43,107522,agua_limpa,649,0,1872,0.523"
"44,110022,agua_limpa,626,0,1767,0.504"
"45,112522,agua_limpa,659,0,1587,0.531"
"46,115022,agua_limpa,700,0,1653,0.564"
"47,117522,agua_limpa,714,0,1799,0.575"
"48,120022,agua_limpa,694,0,1899,0.559"
"49,122522,agua_limpa,625,0,1795,0.504"
"50,125022,agua_limpa,675,0,1562,0.544"
"51,127522,agua_limpa,710,0,1769,0.572"
"52,130022,agua_limpa,705,0,1869,0.568"
"53,132522,agua_limpa,666,0,1895,0.537"
"54,135022,agua_limpa,619,0,1761,0.499"
"55,137522,agua_limpa,617,0,1712,0.497"
"56,140022,agua_limpa,615,0,1764,0.496"
"57,142522,agua_limpa,627,0,1815,0.505"
"58,145022,agua_limpa,648,0,1876,0.522"
"59,147522,agua_limpa,664,0,1893,0.535"
"60,150022,agua_limpa,697,0,1866,0.562"
"61,152522,agua_limpa,708,0,1758,0.571"
"62,155022,agua_limpa,678,0,1584,0.546"
"63,157522,agua_limpa,651,0,1505,0.525"
"64,160022,agua_limpa,641,0,1585,0.517"
"65,162522,agua_limpa,636,0,1602,0.513"
"66,165022,agua_limpa,645,0,1579,0.520"
"67,167522,agua_limpa,675,0,1561,0.544"
"68,170022,agua_limpa,710,0,1779,0.572"
"69,172522,agua_limpa,677,0,1894,0.546"
"70,175022,agua_limpa,646,0,1653,0.521"
"71,177522,agua_limpa,709,0,1828,0.571"
"72,180022,agua_limpa,627,0,1847,0.505"
"73,182522,agua_limpa,682,0,1616,0.550"
"74,185022,agua_limpa,699,0,1853,0.563"
"75,187522,agua_limpa,616,0,1770,0.496"
"76,190022,agua_limpa,682,0,1607,0.550"
"77,192522,agua_limpa,706,0,1825,0.569"
"78,195022,agua_limpa,663,0,1874,0.534"
"79,197522,agua_limpa,623,0,1810,0.502"
"80,200022,agua_limpa,632,0,1841,0.509"
