"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_pouca_terra,779,0,2032,0.628"
"2,5022,agua_pouca_terra,691,0,1861,0.557"
"3,7522,agua_pouca_terra,772,0,1904,0.622"
"4,10022,agua_pouca_terra,758,0,2022,0.611"
"5,12522,agua_pouca_terra,687,0,1959,0.554"
"6,15022,agua_pouca_terra,734,0,1711,0.592"
"7,17522,agua_pouca_terra,772,0,1962,0.622"
"8,20022,agua_pouca_terra,682,0,1872,0.550"
"9,22522,agua_pouca_terra,743,0,2021,0.599"
"10,25022,agua_pouca_terra,771,0,1915,0.621"
"11,27522,agua_pouca_terra,733,0,1650,0.591"
"12,30022,agua_pouca_terra,679,0,1889,0.547"
"13,32522,agua_pouca_terra,720,0,2009,0.580"
"14,35022,agua_pouca_terra,754,0,1995,0.608"
"15,37522,agua_pouca_terra,768,0,1904,0.619"
"16,40022,agua_pouca_terra,721,0,1616,0.581"
"17,42522,agua_pouca_terra,708,0,1998,0.571"
"18,45022,agua_pouca_terra,759,0,1843,0.612"
"19,47522,agua_pouca_terra,725,0,2001,0.584"
"20,50022,agua_pouca_terra,679,0,1863,0.547"
"21,52522,agua_pouca_terra,749,0,1811,0.604"
"22,55022,agua_pouca_terra,737,0,1990,0.594"
"23,57522,agua_pouca_terra,690,0,1779,0.556"
"24,60022,agua_pouca_terra,762,0,1917,0.614"
"25,62522,agua_pouca_terra,736,0,2000,0.593"
"26,65022,agua_pouca_terra,684,0,1984,0.551"
"27,67522,agua_pouca_terra,673,0,1898,0.542"
"28,70022,agua_pouca_terra,681,0,1843,0.549"
"29,72522,agua_pouca_terra,692,0,1744,0.558"
"30,75022,agua_pouca_terra,708,0,1728,0.571"
"31,77522,agua_pouca_terra,723,0,1697,0.583"
"32,80022,agua_pouca_terra,746,0,1850,0.601"
"33,82522,agua_pouca_terra,751,0,1980,0.605"
"34,85022,agua_pouca_terra,675,0,1961,0.544"
"35,87522,agua_pouca_terra,704,0,1641,0.567"
"36,90022,agua_pouca_terra,733,0,1808,0.591"
"37,92522,agua_pouca_terra,700,0,1788,0.564"
"38,95022,agua_pouca_terra,695,0,1973,0.560"
"39,97522,agua_pouca_terra,743,0,1947,0.599"
