"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"113,282522,agua_pouca_terra,626,0,1505,0.504"
"114,285022,agua_pouca_terra,605,0,1790,0.488"
"115,287522,agua_pouca_terra,659,0,1823,0.531"
"116,290022,agua_pouca_terra,679,0,1741,0.547"
"117,292522,agua_pouca_terra,659,0,1535,0.531"
"118,295022,agua_pouca_terra,598,0,1683,0.482"
"119,297522,agua_pouca_terra,639,0,1813,0.515"
"120,300022,agua_pouca_terra,677,0,1723,0.546"
"121,302522,agua_pouca_terra,643,0,1482,0.518"
"122,305022,agua_pouca_terra,591,0,1769,0.476"
"123,307522,agua_pouca_terra,672,0,1806,0.542"
