"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_alta_terra,687,0,1833,0.554"
"2,5022,agua_alta_terra,636,0,1842,0.513"
"3,7522,agua_alta_terra,667,0,1605,0.538"
"4,10022,agua_alta_terra,626,0,1569,0.504"
"5,12522,agua_alta_terra,643,0,1461,0.518"
"6,15022,agua_alta_terra,681,0,1714,0.549"
"7,17522,agua_alta_terra,646,0,1836,0.521"
"8,20022,agua_alta_terra,638,0,1520,0.514"
"9,22522,agua_alta_terra,677,0,1793,0.546"
"10,25022,agua_alta_terra,595,0,1766,0.479"
"11,27522,agua_alta_terra,631,0,1456,0.508"
"12,30022,agua_alta_terra,674,0,1671,0.543"
"13,32522,agua_alta_terra,675,0,1776,0.544"
"14,35022,agua_alta_terra,659,0,1822,0.531"
"15,37522,agua_alta_terra,633,0,1831,0.510"
"16,40022,agua_alta_terra,592,0,1764,0.477"
"17,42522,agua_alta_terra,619,0,1556,0.499"
"18,45022,agua_alta_terra,681,0,1712,0.549"
"19,47522,agua_alta_terra,626,0,1829,0.504"
"20,50022,agua_alta_terra,655,0,1571,0.528"
"21,52522,agua_alta_terra,651,0,1828,0.525"
"22,55022,agua_alta_terra,644,0,1515,0.519"
"23,57522,agua_alta_terra,637,0,1825,0.513"
"24,60022,agua_alta_terra,656,0,1569,0.529"
"25,62522,agua_alta_terra,640,0,1823,0.516"
"26,65022,agua_alta_terra,642,0,1509,0.517"
"27,67522,agua_alta_terra,653,0,1819,0.526"
"28,70022,agua_alta_terra,617,0,1535,0.497"
"29,72522,agua_alta_terra,671,0,1805,0.541"
"30,75022,agua_alta_terra,611,0,1634,0.492"
"31,77522,agua_alta_terra,678,0,1721,0.546"
"32,80022,agua_alta_terra,628,0,1823,0.506"
"33,82522,agua_alta_terra,623,0,1535,0.502"
"34,85022,agua_alta_terra,669,0,1607,0.539"
"35,87522,agua_alta_terra,676,0,1668,0.545"
"36,90022,agua_alta_terra,677,0,1710,0.546"
"37,92522,agua_alta_terra,674,0,1751,0.543"
"38,95022,agua_alta_terra,660,0,1808,0.532"
"39,97522,agua_alta_terra,607,0,1793,0.489"
"40,100022,agua_alta_terra,608,0,1584,0.490"
"41,102522,agua_alta_terra,673,0,1696,0.542"
"42,105022,agua_alta_terra,601,0,1795,0.484"
"43,107522,agua_alta_terra,663,0,1616,0.534"
"44,110022,agua_alta_terra,638,0,1826,0.514"
"45,112522,agua_alta_terra,626,0,1535,0.504"
"46,115022,agua_alta_terra,677,0,1787,0.546"
"47,117522,agua_alta_terra,620,0,1637,0.500"
"48,120022,agua_alta_terra,649,0,1825,0.523"
"49,122522,agua_alta_terra,680,0,1727,0.548"
"50,125022,agua_alta_terra,617,0,1635,0.497"
"51,127522,agua_alta_terra,667,0,1809,0.538"
"52,130022,agua_alta_terra,631,0,1521,0.508"
"53,132522,agua_alta_terra,660,0,1808,0.532"
"54,135022,agua_alta_terra,634,0,1483,0.511"
"55,137522,agua_alta_terra,621,0,1813,0.500"
"56,140022,agua_alta_terra,674,0,1725,0.543"
"57,142522,agua_alta_terra,604,0,1643,0.487"
"58,145022,agua_alta_terra,644,0,1814,0.519"
"59,147522,agua_alta_terra,677,0,1749,0.546"
"60,150022,agua_alta_terra,655,0,1621,0.528"
"61,152522,agua_alta_terra,603,0,1701,0.486"
"62,155022,agua_alta_terra,668,0,1808,0.538"
"63,157522,agua_alta_terra,615,0,1614,0.496"
"64,160022,agua_alta_terra,678,0,1683,0.546"
"65,162522,agua_alta_terra,665,0,1808,0.536"
"66,165022,agua_alta_terra,605,0,1782,0.488"
"67,167522,agua_alta_terra,623,0,1535,0.502"
"68,170022,agua_alta_terra,672,0,1642,0.542"
"69,172522,agua_alta_terra,679,0,1745,0.547"
"70,175022,agua_alta_terra,675,0,1777,0.544"
"71,177522,agua_alta_terra,677,0,1771,0.546"
"72,180022,agua_alta_terra,681,0,1716,0.549"
"73,182522,agua_alta_terra,677,0,1650,0.546"
"74,185022,agua_alta_terra,674,0,1632,0.543"
"75,187522,agua_alta_terra,678,0,1701,0.546"
"76,190022,agua_alta_terra,673,0,1774,0.542"
"77,192522,agua_alta_terra,669,0,1804,0.539"
"78,195022,agua_alta_terra,659,0,1814,0.531"
"79,197522,agua_alta_terra,646,0,1825,0.521"
"80,200022,agua_alta_terra,628,0,1822,0.506"
"81,202522,agua_alta_terra,612,0,1804,0.493"
"82,205022,agua_alta_terra,609,0,1792,0.491"
"83,207522,agua_alta_terra,603,0,1787,0.486"
"84,210022,agua_alta_terra,613,0,1801,0.494"
"85,212522,agua_alta_terra,620,0,1809,0.500"
"86,215022,agua_alta_terra,624,0,1823,0.503"
"87,217522,agua_alta_terra,617,0,1822,0.497"
"88,220022,agua_alta_terra,611,0,1804,0.492"
"89,222522,agua_alta_terra,600,0,1776,0.484"
"90,225022,agua_alta_terra,595,0,1753,0.479"
"91,227522,agua_alta_terra,605,0,1675,0.488"
"92,230022,agua_alta_terra,642,0,1456,0.517"
"93,232522,agua_alta_terra,675,0,1689,0.544"
"94,235022,agua_alta_terra,667,0,1805,0.538"
"95,237522,agua_alta_terra,618,0,1814,0.498"
"96,240022,agua_alta_terra,618,0,1558,0.498"
"97,242522,agua_alta_terra,673,0,1696,0.542"
"98,245022,agua_alta_terra,621,0,1816,0.500"
"99,247522,agua_alta_terra,653,0,1535,0.526"
"100,250022,agua_alta_terra,659,0,1823,0.531"
"101,252522,agua_alta_terra,598,0,1638,0.482"
"102,255022,agua_alta_terra,667,0,1616,0.538"
"103,257522,agua_alta_terra,678,0,1742,0.546"
"104,260022,agua_alta_terra,663,0,1807,0.534"
"105,262522,agua_alta_terra,636,0,1817,0.513"
"106,265022,agua_alta_terra,600,0,1767,0.484"
