"leitura,tempo_ms,amostra,adc_medio,adc_menor,adc_maior,tensao_media_v"
"1,2523,agua_media_terra,689,0,1815,0.555"
"2,5022,agua_media_terra,689,0,1706,0.555"
"3,7522,agua_media_terra,674,0,1615,0.543"
"4,10022,agua_media_terra,678,0,1643,0.546"
"5,12522,agua_media_terra,686,0,1757,0.553"
"6,15022,agua_media_terra,665,0,1837,0.536"
"7,17522,agua_media_terra,619,0,1827,0.499"
"8,20022,agua_media_terra,587,0,1743,0.473"
"9,22522,agua_media_terra,607,0,1794,0.489"
"10,25022,agua_media_terra,657,0,1827,0.529"
"11,27522,agua_media_terra,681,0,1749,0.549"
"12,30022,agua_media_terra,665,0,1591,0.536"
"13,32522,agua_media_terra,621,0,1535,0.500"
"14,35022,agua_media_terra,591,0,1733,0.476"
"15,37522,agua_media_terra,626,0,1823,0.504"
"16,40022,agua_media_terra,650,0,1838,0.524"
"17,42522,agua_media_terra,661,0,1830,0.533"
"18,45022,agua_media_terra,653,0,1838,0.526"
"19,47522,agua_media_terra,644,0,1837,0.519"
"20,50022,agua_media_terra,660,0,1828,0.532"
"21,52522,agua_media_terra,682,0,1760,0.550"
"22,55022,agua_media_terra,650,0,1530,0.524"
"23,57522,agua_media_terra,600,0,1709,0.484"
"24,60022,agua_media_terra,654,0,1834,0.527"
"25,62522,agua_media_terra,683,0,1709,0.550"
"26,65022,agua_media_terra,613,0,1652,0.494"
"27,67522,agua_media_terra,679,0,1814,0.547"
"28,70022,agua_media_terra,636,0,1534,0.513"
"29,72522,agua_media_terra,654,0,1831,0.527"
"30,75022,agua_media_terra,659,0,1590,0.531"
"31,77522,agua_media_terra,605,0,1802,0.488"
"32,80022,agua_media_terra,681,0,1755,0.549"
"33,82522,agua_media_terra,628,0,1533,0.506"
"34,85022,agua_media_terra,601,0,1782,0.484"
"35,87522,agua_media_terra,632,0,1830,0.509"
"36,90022,agua_media_terra,635,0,1827,0.512"
"37,92522,agua_media_terra,629,0,1827,0.507"
"38,95022,agua_media_terra,620,0,1817,0.500"
"39,97522,agua_media_terra,613,0,1806,0.494"
"40,100022,agua_media_terra,597,0,1758,0.481"
"41,102522,agua_media_terra,600,0,1718,0.484"
"42,105022,agua_media_terra,600,0,1703,0.484"
"43,107522,agua_media_terra,596,0,1745,0.480"
"44,110022,agua_media_terra,628,0,1824,0.506"
"45,112522,agua_media_terra,674,0,1801,0.543"
"46,115022,agua_media_terra,665,0,1590,0.536"
"47,117522,agua_media_terra,599,0,1757,0.483"
"48,120022,agua_media_terra,682,0,1763,0.550"
"49,122522,agua_media_terra,600,0,1759,0.484"
"50,125022,agua_media_terra,680,0,1683,0.548"
"51,127522,agua_media_terra,637,0,1825,0.513"
"52,130022,agua_media_terra,645,0,1514,0.520"
"53,132522,agua_media_terra,650,0,1825,0.524"
"54,135022,agua_media_terra,660,0,1583,0.532"
"55,137522,agua_media_terra,598,0,1735,0.482"
"56,140022,agua_media_terra,646,0,1831,0.521"
"57,142522,agua_media_terra,680,0,1777,0.548"
"58,145022,agua_media_terra,674,0,1639,0.543"
"59,147522,agua_media_terra,623,0,1562,0.502"
"60,150022,agua_media_terra,614,0,1817,0.495"
"61,152522,agua_media_terra,679,0,1758,0.547"
"62,155022,agua_media_terra,616,0,1629,0.496"
"63,157522,agua_media_terra,675,0,1796,0.544"
"64,160022,agua_media_terra,600,0,1744,0.484"
"65,162522,agua_media_terra,663,0,1637,0.534"
"66,165022,agua_media_terra,664,0,1808,0.535"
"67,167522,agua_media_terra,596,0,1797,0.480"
"68,170022,agua_media_terra,627,0,1503,0.505"
"69,172522,agua_media_terra,674,0,1726,0.543"
"70,175022,agua_media_terra,652,0,1808,0.525"
"71,177522,agua_media_terra,596,0,1753,0.480"
"72,180022,agua_media_terra,650,0,1579,0.524"
"73,182522,agua_media_terra,658,0,1812,0.530"
"74,185022,agua_media_terra,631,0,1558,0.508"
"75,187522,agua_media_terra,661,0,1813,0.533"
"76,190022,agua_media_terra,647,0,1526,0.521"
"77,192522,agua_media_terra,617,0,1815,0.497"
"78,195022,agua_media_terra,681,0,1754,0.549"
"79,197522,agua_media_terra,623,0,1535,0.502"
"80,200022,agua_media_terra,658,0,1809,0.530"
"81,202522,agua_media_terra,636,0,1495,0.513"
"82,205022,agua_media_terra,668,0,1807,0.538"
"83,207522,agua_media_terra,593,0,1744,0.478"
"84,210022,agua_media_terra,645,0,1574,0.520"
"85,212522,agua_media_terra,679,0,1748,0.547"
"86,215022,agua_media_terra,647,0,1826,0.521"
"87,217522,agua_media_terra,608,0,1683,0.490"
"88,220022,agua_media_terra,679,0,1693,0.547"
"89,222522,agua_media_terra,639,0,1822,0.515"
"90,225022,agua_media_terra,650,0,1535,0.524"
"91,227522,agua_media_terra,618,0,1819,0.498"
"92,230022,agua_media_terra,675,0,1797,0.544"
"93,232522,agua_media_terra,677,0,1648,0.546"
"94,235022,agua_media_terra,614,0,1557,0.495"
"95,237522,agua_media_terra,613,0,1810,0.494"
"96,240022,agua_media_terra,677,0,1723,0.546"
"97,242522,agua_media_terra,587,0,1678,0.473"
"98,245022,agua_media_terra,677,0,1729,0.546"
"99,247522,agua_media_terra,640,0,1819,0.516"
"100,250022,agua_media_terra,610,0,1619,0.492"
"101,252522,agua_media_terra,675,0,1723,0.544"
"102,255022,agua_media_terra,659,0,1820,0.531"
"103,257522,agua_media_terra,615,0,1821,0.496"
"104,260022,agua_media_terra,598,0,1753,0.482"
"105,262522,agua_media_terra,622,0,1648,0.501"
"106,265022,agua_media_terra,643,0,1566,0.518"
"107,267522,agua_media_terra,648,0,1581,0.522"
"108,270022,agua_media_terra,676,0,1685,0.545"
"109,272522,agua_media_terra,664,0,1825,0.535"
"110,275022,agua_media_terra,604,0,1699,0.487"
"111,277522,agua_media_terra,679,0,1739,0.547"
"112,280022,agua_media_terra,597,0,1797,0.481"
"113,282522,agua_media_terra,678,0,1697,0.546"
"114,285022,agua_media_terra,629,0,1821,0.507"
"115,287522,agua_media_terra,623,0,1590,0.502"
"116,290022,agua_media_terra,674,0,1699,0.543"
"117,292522,agua_media_terra,664,0,1809,0.535"
"118,295022,agua_media_terra,621,0,1819,0.500"
"119,297522,agua_media_terra,596,0,1721,0.480"
"120,300022,agua_media_terra,625,0,1610,0.504"
"121,302522,agua_media_terra,659,0,1639,0.531"
"122,305022,agua_media_terra,677,0,1782,0.546"
"123,307522,agua_media_terra,640,0,1819,0.516"
"124,310022,agua_media_terra,650,0,1899,0.524"
"125,312522,agua_media_terra,651,0,1587,0.525"
